ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40126443,20.0,34.0,40.0,30.0,40.0,40,29.0,32.0,3.1,11.75,8
40128047,37.0,34.0,30.0,40.0,30.0,40,39.0,40.0,5.4,14.1,8
40130005,37.0,36.0,0.0,32.0,0.0,40,20.0,34.0,2.5,7.69,8
40130007,0.0,37.0,40.0,40.0,40.0,0,35.0,0.0,0.0,1.92,8
40131406,40.0,24.0,38.0,40.0,40.0,40,39.0,40.0,3.5,9.91,8
40131407,35.0,27.0,25.0,37.0,40.0,40,40.0,40.0,5.7,13.84,8
40131408,0.0,0.0,40.0,37.0,40.0,40,33.0,33.0,3.6,7.23,8
40131409,0.0,36.0,40.0,40.0,0.0,40,30.0,0.0,5.4,8.96,8
40131410,35.0,37.0,38.0,40.0,40.0,40,0.0,31.0,4.1,11.709999999999999,8
40131411,40.0,39.0,40.0,40.0,40.0,40,30.0,40.0,5.1,14.79,8
40131412,40.0,32.0,38.0,38.0,0.0,40,35.0,40.0,7.0,16.33,8
40132015,20.0,33.0,40.0,37.0,35.0,40,30.0,0.0,2.6,5.95,8
40030016,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3
40123051,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.2,2.2,3
40123053,32.0,23.0,2.0,0.0,35.0,40,29.0,40.0,4.0,9.809999999999999,3
40123055,38.0,37.0,38.0,40.0,40.0,40,29.0,40.0,4.9,15.120000000000001,3
40123058,35.0,39.0,37.0,40.0,40.0,40,29.0,40.0,5.5,17.5,3
40123059,37.0,39.0,35.0,40.0,40.0,40,40.0,35.0,4.3,13.559999999999999,3
40123060,40.0,18.0,35.0,24.0,40.0,40,33.0,22.0,5.3,11.82,3
40123062,40.0,37.0,37.0,40.0,40.0,40,29.0,40.0,4.4,13.43,3
40123064,25.0,37.0,30.0,40.0,40.0,40,38.0,40.0,5.1,14.0,3
40123066,37.0,39.0,35.0,40.0,40.0,40,30.0,25.0,6.2,15.86,3
40123067,28.0,37.0,25.0,36.0,40.0,40,38.0,40.0,4.9,13.94,3
40123069,40.0,39.0,38.0,40.0,40.0,40,29.0,35.0,6.2,17.61,3
40123071,35.0,39.0,38.0,40.0,38.0,40,22.0,40.0,6.9,18.82,3
40123075,35.0,39.0,38.0,40.0,40.0,40,29.0,30.0,5.3,13.01,3
40123077,37.0,39.0,34.0,0.0,40.0,40,27.0,40.0,5.5,11.67,3
40123078,37.0,39.0,37.0,36.0,33.0,40,15.0,40.0,5.1,14.27,3
40123429,40.0,39.0,40.0,40.0,40.0,40,40.0,35.0,7.0,16.939999999999998,3
40123430,20.0,0.0,35.0,0.0,40.0,0,0.0,40.0,5.2,10.55,3
40123431,35.0,37.0,38.0,40.0,35.0,40,38.0,40.0,3.4,9.93,3
40123432,35.0,36.0,38.0,40.0,35.0,40,35.0,40.0,2.4,7.49,3
40123433,40.0,18.0,0.0,40.0,35.0,40,30.0,0.0,6.5,15.23,3
40123434,40.0,37.0,38.0,0.0,0.0,40,30.0,0.0,5.3,11.05,3
40123435,35.0,40.0,37.0,40.0,40.0,40,35.0,40.0,5.2,10.67,3
40123436,35.0,40.0,40.0,40.0,40.0,40,35.0,40.0,4.8,9.899999999999999,3
40123439,20.0,37.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.57,3
40125420,0.0,37.0,0.0,0.0,35.0,0,0.0,40.0,4.2,7.970000000000001,3
40125421,0.0,39.0,36.0,40.0,30.0,40,38.0,20.0,4.5,12.53,3
40125422,0.0,0.0,0.0,0.0,40.0,40,0.0,40.0,1.5,2.7,3
40125423,0.0,37.0,0.0,40.0,35.0,40,30.0,40.0,0.0,2.22,3
40125424,0.0,30.0,37.0,40.0,35.0,40,30.0,40.0,0.2,2.72,3
40126415,37.0,37.0,38.0,36.0,38.0,40,37.0,40.0,4.3,11.23,3
40126416,38.0,39.0,39.0,40.0,40.0,40,37.0,40.0,4.4,12.33,3
40126417,23.0,39.0,40.0,40.0,40.0,0,0.0,40.0,0.0,4.52,3
40126418,37.0,37.0,39.0,32.0,40.0,0,0.0,0.0,1.1,2.95,3
40126419,27.0,0.0,35.0,33.0,40.0,40,37.0,40.0,1.7,9.319999999999999,3
40126420,32.0,37.0,30.0,40.0,35.0,40,37.0,40.0,4.5,9.61,3
40126422,0.0,38.0,34.0,36.0,35.0,40,35.0,20.0,2.0,5.88,3
40126423,30.0,30.0,28.0,40.0,40.0,40,35.0,35.0,6.1,16.479999999999997,3
40126424,20.0,36.0,28.0,36.0,33.0,40,38.0,20.0,4.6,8.91,3
40126425,0.0,36.0,38.0,40.0,33.0,40,30.0,0.0,2.7,10.77,3
40126426,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,6.0,3
40126427,27.0,35.0,37.0,40.0,0.0,40,0.0,0.0,6.0,11.99,3
40128084,40.0,36.0,37.0,40.0,40.0,40,29.0,24.0,1.1,7.959999999999999,3
40128085,40.0,30.0,30.0,36.0,30.0,40,30.0,40.0,0.3,3.26,3
40130001,33.0,28.0,38.0,40.0,38.0,40,37.0,40.0,0.0,5.140000000000001,3
40130006,30.0,37.0,38.0,40.0,40.0,40,37.0,40.0,3.5,8.219999999999999,3
40130012,0.0,37.0,36.0,37.0,0.0,40,37.0,40.0,2.5,6.07,3
40130014,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3
40130018,35.0,39.0,38.0,40.0,0.0,40,37.0,0.0,0.0,5.49,3
40131002,40.0,38.0,38.0,40.0,37.0,40,40.0,40.0,5.3,17.43,3
40131003,40.0,0.0,40.0,28.0,40.0,40,35.0,40.0,5.7,15.629999999999999,3
40131043,35.0,39.0,39.0,40.0,38.0,40,40.0,40.0,4.35,13.959999999999999,3
40131045,40.0,39.0,36.0,40.0,38.0,40,40.0,40.0,5.8,17.93,3
40131046,32.0,30.0,30.0,0.0,40.0,40,29.0,40.0,4.7,15.41,3
40131047,0.0,40.0,40.0,40.0,40.0,40,40.0,40.0,7.0,18.1,3
40131048,38.0,33.0,38.0,40.0,35.0,40,32.0,40.0,6.7,18.66,3
40131050,35.0,28.0,38.0,40.0,40.0,40,29.0,40.0,6.2,17.400000000000002,3
40131051,40.0,38.0,30.0,32.0,37.0,40,32.0,40.0,4.6,10.89,3
40131053,35.0,38.0,32.0,40.0,40.0,0,38.0,40.0,5.6,15.229999999999999,3
40131054,40.0,39.0,38.0,36.0,40.0,40,29.0,40.0,2.7,10.920000000000002,3
40131055,40.0,40.0,40.0,40.0,40.0,40,40.0,40.0,7.0,18.5,3
40131058,37.0,37.0,30.0,40.0,40.0,0,29.0,0.0,5.0,14.030000000000001,3
40132022,37.0,30.0,38.0,34.0,28.0,40,40.0,35.0,0.4,3.82,3
40132407,35.0,30.0,38.0,36.0,25.0,40,40.0,40.0,6.0,12.44,3
40132410,30.0,39.0,35.0,37.0,23.0,40,14.0,40.0,3.5,11.379999999999999,3
40132411,30.0,38.0,38.0,35.0,25.0,40,40.0,40.0,2.1,8.91,3
40132415,35.0,33.0,40.0,40.0,40.0,40,40.0,40.0,2.3,7.4799999999999995,3
40132422,40.0,30.0,30.0,40.0,35.0,40,40.0,40.0,5.3,13.05,3
40132423,40.0,40.0,0.0,0.0,25.0,40,34.0,0.0,0.5,2.29,3
40132425,35.0,33.0,40.0,36.0,40.0,40,40.0,36.0,6.8,14.7,3
40033114,0.0,0.0,40.0,38.0,35.0,40,32.0,0.0,0.2,2.0500000000000003,2
40111026,0.0,0.0,0.0,36.0,40.0,40,40.0,40.0,1.4,6.859999999999999,2
40111030,0.0,0.0,0.0,40.0,40.0,30,30.0,0.0,0.7,2.0999999999999996,2
40111031,0.0,0.0,0.0,0.0,35.0,40,0.0,0.0,0.3,1.85,2
40122022,0.0,0.0,40.0,0.0,0.0,35,0.0,0.0,3.1,5.95,2
40122023,0.0,0.0,0.0,38.0,15.0,0,40.0,32.0,2.6,5.75,2
40122024,0.0,0.0,40.0,32.0,40.0,0,20.0,24.0,4.9,7.16,2
40122026,0.0,0.0,34.0,0.0,40.0,40,30.0,40.0,0.2,2.24,2
40122028,0.0,0.0,0.0,38.0,35.0,0,30.0,38.0,1.0,2.81,2
40122029,0.0,0.0,0.0,34.0,35.0,38,0.0,40.0,0.0,2.5700000000000003,2
40122030,0.0,0.0,40.0,38.0,35.0,40,32.0,40.0,4.4,11.95,2
