ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40111406,30.0,0.0,36.0,0.0,0.0,40,0,0.0,2.4,7.460000000000001,Dr. Bayati
40111410,40.0,32.0,40.0,40.0,40.0,40,34,40.0,2.3,9.760000000000002,Dr. Bayati
40111412,35.0,0.0,36.0,38.0,0.0,40,0,0.0,3.5,7.39,Dr. Bayati
40111413,25.0,32.0,36.0,20.0,40.0,40,25,28.0,4.3,11.86,Dr. Bayati
40111416,20.0,38.0,38.0,36.0,40.0,40,30,23.0,0.5,4.05,Dr. Bayati
40123019,40.0,32.0,40.0,40.0,35.0,40,40,40.0,0.6,7.369999999999999,Dr. Bayati
40123020,40.0,0.0,40.0,40.0,40.0,40,40,40.0,2.8,14.3,Dr. Bayati
40123021,20.0,34.0,40.0,40.0,40.0,40,28,40.0,6.8,16.72,Dr. Bayati
40123022,0.0,34.0,40.0,40.0,40.0,40,0,40.0,5.0,13.84,Dr. Bayati
40123023,30.0,39.0,40.0,40.0,40.0,40,35,40.0,4.6,12.34,Dr. Bayati
40123025,30.0,32.0,38.0,40.0,40.0,40,40,40.0,4.3,14.7,Dr. Bayati
40123026,35.0,39.0,40.0,40.0,40.0,40,35,40.0,6.7,17.79,Dr. Bayati
40123027,0.0,33.0,40.0,40.0,40.0,40,18,40.0,2.7,12.21,Dr. Bayati
40123089,30.0,32.0,40.0,38.0,40.0,40,40,40.0,4.2,14.600000000000001,Dr. Bayati
40123092,40.0,15.0,40.0,40.0,40.0,40,40,40.0,6.1,17.049999999999997,Dr. Bayati
40124037,35.0,39.0,38.0,40.0,40.0,40,28,40.0,6.2,13.0,Dr. Bayati
40124038,20.0,32.0,40.0,0.0,30.0,40,0,40.0,0.0,3.62,Dr. Bayati
40124040,29.0,31.0,34.0,0.0,40.0,40,38,40.0,5.45,16.97,Dr. Bayati
40124041,25.0,40.0,30.0,38.0,40.0,40,33,40.0,2.4,6.0600000000000005,Dr. Bayati
40124042,40.0,33.0,40.0,40.0,40.0,40,35,40.0,4.5,10.58,Dr. Bayati
40124418,30.0,32.0,20.0,0.0,0.0,40,35,0.0,1.8,5.37,Dr. Bayati
40124419,0.0,0.0,0.0,0.0,0.0,40,0,0.0,0.0,1.9,Dr. Bayati
40124421,0.0,0.0,0.0,38.0,0.0,40,33,40.0,0.0,1.81,Dr. Bayati
40125023,0.0,34.0,38.0,36.0,35.0,40,28,40.0,0.8,9.21,Dr. Bayati
40125025,30.0,32.0,40.0,40.0,40.0,40,35,40.0,3.5,11.77,Dr. Bayati
40125032,25.0,0.0,0.0,0.0,0.0,40,0,0.0,5.2,7.15,Dr. Bayati
40125037,35.0,34.0,40.0,40.0,40.0,40,40,40.0,5.7,15.29,Dr. Bayati
40125044,35.0,23.0,38.0,40.0,0.0,40,28,0.0,3.8,11.940000000000001,Dr. Bayati
40125412,30.0,0.0,0.0,40.0,40.0,40,28,40.0,2.8,9.780000000000001,Dr. Bayati
40125413,25.0,0.0,40.0,36.0,40.0,40,27,40.0,3.5,12.18,Dr. Bayati
40125414,20.0,32.0,38.0,40.0,40.0,40,28,40.0,4.8,14.379999999999999,Dr. Bayati
40125415,40.0,37.0,40.0,38.0,40.0,40,33,40.0,3.7,11.68,Dr. Bayati
40125416,40.0,37.0,38.0,36.0,40.0,40,33,40.0,2.2,10.04,Dr. Bayati
40125417,30.0,0.0,30.0,40.0,40.0,40,35,38.0,4.4,12.63,Dr. Bayati
40125418,30.0,37.0,40.0,40.0,40.0,40,28,40.0,2.0,6.050000000000001,Dr. Bayati
40126033,20.0,39.0,40.0,0.0,40.0,40,15,22.0,3.05,9.41,Dr. Bayati
40126039,25.0,33.0,40.0,40.0,0.0,40,33,22.0,3.7,12.73,Dr. Bayati
40126040,0.0,32.0,40.0,40.0,40.0,40,25,35.0,0.0,4.02,Dr. Bayati
40126046,35.0,36.0,40.0,40.0,40.0,40,28,40.0,4.0,12.79,Dr. Bayati
40126049,35.0,38.0,40.0,40.0,40.0,40,23,35.0,6.0,15.71,Dr. Bayati
40126054,35.0,40.0,40.0,40.0,40.0,40,28,40.0,5.4,16.73,Dr. Bayati
40126055,25.0,33.0,36.0,38.0,40.0,40,35,40.0,5.7,9.870000000000001,Dr. Bayati
40126057,25.0,39.0,36.0,40.0,35.0,40,28,40.0,4.9,16.43,Dr. Bayati
40126061,40.0,39.0,40.0,0.0,40.0,40,35,40.0,5.0,15.34,Dr. Bayati
40126069,40.0,34.0,38.0,36.0,40.0,40,38,22.0,3.5,11.58,Dr. Bayati
40126070,20.0,34.0,0.0,0.0,35.0,40,28,35.0,4.65,9.47,Dr. Bayati
